trip,block_id
2Ul1BLUEFX8,1-68
2Ul1BLUEFZ8,1-50
2Ul1BLUEFb8,1-53
2Ul1BLUEFf8,1-8
2Ul1BLUEFj8,1-71
2Ul1BLUEFl8,1-16
2Ul1BLUEFn8,1-3
2Ul1BLUEFr8,1-38
2Ul1BLUEFv8,1-56
2Ul1BLUEFx8,1-45
2Ul1BLUEG18,1-57
2Ul1BLUEG58,1-23
2Ul1BLUEG98,1-44
2Ul1BLUEGB8,1-43
2Ul1BLUEGD8,171-4
2Ul1BLUEGH8,1-62
2Ul1BLUEGL8,9-27
2Ul1BLUEGN8,1-2
2Ul1BLUEGP8,1-78
2Ul1BLUEGT8,1-6
2Ul1BLUEGX8,1-67
2Ul1BLUEGZ8,1-30
2Ul1BLUEGb8,1-66
2Ul1BLUEGf8,1-7
2Ul1BLUEGj8,1-70
2Ul1BLUEGl8,1-54
2Ul1BLUEGn8,8-41
2Ul1BLUEGr8,1-55
2Ul1BLUEGu8,1-69
2Ul1BLUEGw8,1-12
2Ul1BLUEH08,1-73
2Ul1BLUEH38,1-10
2Ul1BLUEH78,1-51
2Ul1BLUEHA8,1-5
2Ul1BLUEHC8,1-74
2Ul1BLUEHG8,1-37
2Ul1BLUEHK8,1-77
2Ul1BLUEHM8,1-22
2Ul1BLUEHO8,1-59
2Ul1BLUEHT8,1-64
2Ul1BLUEHY8,1-39
2Ul1BLUEHZ8,1-52
2Ul1BLUEHe8,1-65
2Ul1BLUEHj8,17-4
2Ul1BLUEHk8,1-8
2Ul1BLUEHp8,1-72
2Ul1BLUEHu8,1-3
2Ul1BLUEHv8,1-58
2Ul1BLUEI2w,1-50
2Ul1BLUEI7w,1-75
2Ul1BLUEIDw,1-76
2Ul1BLUEIJw,1-16
2Ul1BLUEIPw,1-60
2Ul1BLUEIVw,1-68
2Ul1BLUEIbw,1-38
2Ul1BLUEIhw,1-57
2Ul1BLUEInw,74-3
2Ul1BLUEItw,8-39
2Ul1BLUEJ2w,1-30
2Ul1BLUEJ8w,15-9
2Ul1BLUEJFw,70-9
2Ul1BLUEJMw,1-12
2Ul1BLUEJTw,1-55
2Ul1BLUEJaw,1-7
2Ul1BLUEJiw,1-51
2Ul1BLUEJpw,179-5
